page_size,mem_size,alg,file,page_faults,dirty_pages,elapsed_time
16,1024,Random,matriz.log,26472,6747,0.254388
16,2048,Random,matriz.log,13244,3931,0.307763
16,4096,Random,matriz.log,6002,1989,0.355976
16,8192,Random,matriz.log,3550,1276,0.355900
16,16384,Random,matriz.log,2539,738,0.496296
32,128,Random,matriz.log,411621,56872,0.741226
32,256,Random,matriz.log,306317,53423,0.595051
32,512,Random,matriz.log,170810,36066,0.406559
32,1024,Random,matriz.log,61133,13534,0.264481
32,2048,Random,matriz.log,22415,5785,0.244749
32,4096,Random,matriz.log,10608,3259,0.298409
32,8192,Random,matriz.log,4784,1697,0.339832
32,16384,Random,matriz.log,2943,1063,0.442661
64,128,Random,matriz.log,475808,59445,0.823773
64,256,Random,matriz.log,356280,56246,0.659226
64,512,Random,matriz.log,260919,51989,0.528188
64,1024,Random,matriz.log,128970,29547,0.344183
64,2048,Random,matriz.log,41768,9428,0.234599
64,4096,Random,matriz.log,16774,4551,0.237790
64,8192,Random,matriz.log,7645,2469,0.288666
64,16384,Random,matriz.log,3780,1317,0.343814
2,128,LRU,simulador.log,59155,14134,0.298394
2,256,LRU,simulador.log,34943,9872,0.310963
2,512,LRU,simulador.log,20163,6755,0.473598
2,1024,LRU,simulador.log,11449,4552,0.740687
2,2048,LRU,simulador.log,7663,3308,1.489533
2,4096,LRU,simulador.log,6168,2507,3.127337
2,8192,LRU,simulador.log,5333,937,3.630290
2,16384,LRU,simulador.log,5144,0,3.838794
4,128,LRU,simulador.log,85283,18806,0.185128
4,256,LRU,simulador.log,48301,11945,0.226429
4,512,LRU,simulador.log,27778,8367,0.300058
4,1024,LRU,simulador.log,15440,5455,0.466859
4,2048,LRU,simulador.log,8089,3384,0.596676
4,4096,LRU,simulador.log,5492,2408,1.399051
4,8192,LRU,simulador.log,4314,1624,2.373264
4,16384,LRU,simulador.log,3890,0,3.047790
8,128,LRU,simulador.log,131827,30140,0.165370
8,256,LRU,simulador.log,78338,17773,0.183674
8,512,LRU,simulador.log,42421,11152,0.225412
8,1024,LRU,simulador.log,22816,7433,0.297252
8,2048,LRU,simulador.log,11884,4683,0.525356
8,4096,LRU,simulador.log,6293,2858,0.758405
8,8192,LRU,simulador.log,4528,2052,1.242544
8,16384,LRU,simulador.log,3669,1203,2.244083
16,128,LRU,simulador.log,208367,53738,0.158212
16,256,LRU,simulador.log,119307,28226,0.163285
16,512,LRU,simulador.log,70724,16598,0.183253
16,1024,LRU,simulador.log,37606,10409,0.222558
16,2048,LRU,simulador.log,18800,6620,0.315446
16,4096,LRU,simulador.log,9188,4014,0.447837
16,8192,LRU,simulador.log,5108,2453,0.896530
16,16384,LRU,simulador.log,3751,1721,1.315644
32,128,LRU,simulador.log,274439,81612,0.154899
32,256,LRU,simulador.log,174434,47043,0.156397
32,512,LRU,simulador.log,101483,24766,0.161548
32,1024,LRU,simulador.log,60922,14654,0.178471
32,2048,LRU,simulador.log,31700,9211,0.221023
32,4096,LRU,simulador.log,14066,5380,0.315907
32,8192,LRU,simulador.log,6783,3152,0.511107
32,16384,LRU,simulador.log,3837,1890,0.741846
64,128,LRU,simulador.log,427573,128206,0.153640
64,256,LRU,simulador.log,248262,75439,0.154337
64,512,LRU,simulador.log,152352,40997,0.155808
64,1024,LRU,simulador.log,81506,19786,0.159686
64,2048,LRU,simulador.log,46770,10970,0.177684
64,4096,LRU,simulador.log,20809,6532,0.216290
64,8192,LRU,simulador.log,8367,3479,0.316766
64,16384,LRU,simulador.log,3934,1903,0.508432
2,128,2a,simulador.log,53092,12555,0.222667
2,256,2a,simulador.log,33099,9359,0.295368
2,512,2a,simulador.log,19404,6397,0.405123
2,1024,2a,simulador.log,11334,4378,0.767076
2,2048,2a,simulador.log,7996,3323,1.638452
2,4096,2a,simulador.log,6456,2442,3.061303
2,8192,2a,simulador.log,5401,851,3.632520
2,16384,2a,simulador.log,5144,0,3.850716
4,128,2a,simulador.log,75445,14980,0.177349
4,256,2a,simulador.log,44005,10808,0.217728
4,512,2a,simulador.log,25903,7763,0.293073
4,1024,2a,simulador.log,14383,5014,0.403491
4,2048,2a,simulador.log,8103,3236,0.643957
4,4096,2a,simulador.log,5677,2425,1.063076
4,8192,2a,simulador.log,4457,1530,2.373223
4,16384,2a,simulador.log,3890,0,3.049649
8,128,2a,simulador.log,107579,20724,0.156680
8,256,2a,simulador.log,68354,14205,0.178307
8,512,2a,simulador.log,37598,10015,0.220730
8,1024,2a,simulador.log,21061,6784,0.296778
8,2048,2a,simulador.log,10987,4295,0.445048
8,4096,2a,simulador.log,6340,2771,0.789776
8,8192,2a,simulador.log,4669,2027,1.579033
8,16384,2a,simulador.log,3766,1098,2.252547
16,128,2a,simulador.log,156069,31761,0.148061
16,256,2a,simulador.log,97139,19759,0.155375
16,512,2a,simulador.log,61348,13198,0.172973
16,1024,2a,simulador.log,32976,9177,0.216747
16,2048,2a,simulador.log,16943,5943,0.299045
16,4096,2a,simulador.log,8663,3709,0.559045
16,8192,2a,simulador.log,5155,2352,0.915822
16,16384,2a,simulador.log,3870,1694,1.307317
32,128,2a,simulador.log,196852,48973,0.145650
32,256,2a,simulador.log,132899,27302,0.146831
32,512,2a,simulador.log,84403,17132,0.153861
32,1024,2a,simulador.log,52912,11578,0.174261
32,2048,2a,simulador.log,27358,8008,0.219737
32,4096,2a,simulador.log,12937,4868,0.275215
32,8192,2a,simulador.log,6284,2787,0.389393
32,16384,2a,simulador.log,3887,1791,0.803778
64,128,2a,simulador.log,342567,123881,0.148052
64,256,2a,simulador.log,175794,44000,0.145254
64,512,2a,simulador.log,114631,22525,0.147102
64,1024,2a,simulador.log,67613,13229,0.153600
64,2048,2a,simulador.log,40535,8545,0.171004
64,4096,2a,simulador.log,17698,5383,0.224956
64,8192,2a,simulador.log,7573,3053,0.332791
64,16384,2a,simulador.log,3802,1768,0.522361
2,128,FIFO,simulador.log,59155,14134,0.219565
2,256,FIFO,simulador.log,34943,9872,0.300116
2,512,FIFO,simulador.log,20163,6755,0.461050
2,1024,FIFO,simulador.log,11449,4552,0.727531
2,2048,FIFO,simulador.log,7663,3308,1.477300
2,4096,FIFO,simulador.log,6168,2507,3.115824
2,8192,FIFO,simulador.log,5333,937,3.631677
2,16384,FIFO,simulador.log,5144,0,3.839102
4,128,FIFO,simulador.log,85283,18806,0.176887
4,256,FIFO,simulador.log,48301,11945,0.217671
4,512,FIFO,simulador.log,27778,8367,0.290439
4,1024,FIFO,simulador.log,15440,5455,0.456562
4,2048,FIFO,simulador.log,8089,3384,0.587950
4,4096,FIFO,simulador.log,5492,2408,1.406971
4,8192,FIFO,simulador.log,4314,1624,2.366968
4,16384,FIFO,simulador.log,3890,0,3.047850
8,128,FIFO,simulador.log,131827,30140,0.158032
8,256,FIFO,simulador.log,78338,17773,0.175467
8,512,FIFO,simulador.log,42421,11152,0.217400
8,1024,FIFO,simulador.log,22816,7433,0.288508
8,2048,FIFO,simulador.log,11884,4683,0.516575
8,4096,FIFO,simulador.log,6293,2858,0.750368
8,8192,FIFO,simulador.log,4528,2052,1.233353
8,16384,FIFO,simulador.log,3669,1203,2.234769
16,128,FIFO,simulador.log,208367,53738,0.152129
16,256,FIFO,simulador.log,119307,28226,0.157264
16,512,FIFO,simulador.log,70724,16598,0.175317
16,1024,FIFO,simulador.log,37606,10409,0.215419
16,2048,FIFO,simulador.log,18800,6620,0.309249
16,4096,FIFO,simulador.log,9188,4014,0.441039
16,8192,FIFO,simulador.log,5108,2453,0.891659
16,16384,FIFO,simulador.log,3751,1721,1.311843
32,128,FIFO,simulador.log,274439,81612,0.148947
32,256,FIFO,simulador.log,174434,47043,0.151002
32,512,FIFO,simulador.log,101483,24766,0.156552
32,1024,FIFO,simulador.log,60922,14654,0.172037
32,2048,FIFO,simulador.log,31700,9211,0.215705
32,4096,FIFO,simulador.log,14066,5380,0.309832
32,8192,FIFO,simulador.log,6783,3152,0.507237
32,16384,FIFO,simulador.log,3837,1890,0.736827
64,128,FIFO,simulador.log,427573,128206,0.147403
64,256,FIFO,simulador.log,248262,75439,0.148756
64,512,FIFO,simulador.log,152352,40997,0.150714
64,1024,FIFO,simulador.log,81506,19786,0.155749
64,2048,FIFO,simulador.log,46770,10970,0.173391
64,4096,FIFO,simulador.log,20809,6532,0.212720
64,8192,FIFO,simulador.log,8367,3479,0.287741
64,16384,FIFO,simulador.log,3934,1903,0.508054
2,128,Random,simulador.log,62700,14718,0.315297
2,256,Random,simulador.log,38325,10426,0.357464
2,512,Random,simulador.log,22301,7211,0.478814
2,1024,Random,simulador.log,13259,4923,0.792596
2,2048,Random,simulador.log,9082,3670,1.021818
2,4096,Random,simulador.log,6934,2596,2.720092
2,8192,Random,simulador.log,5532,809,3.675144
2,16384,Random,simulador.log,5144,0,3.851095
4,128,Random,simulador.log,89342,19323,0.308561
4,256,Random,simulador.log,52147,12566,0.295937
4,512,Random,simulador.log,30743,8787,0.348251
4,1024,Random,simulador.log,16829,5702,0.439264
4,2048,Random,simulador.log,9393,3657,0.781485
4,4096,Random,simulador.log,6368,2620,1.314007
4,8192,Random,simulador.log,4928,1668,2.398413
4,16384,Random,simulador.log,3890,0,3.050784
8,128,Random,simulador.log,136097,30269,0.356693
8,256,Random,simulador.log,81872,18207,0.298407
8,512,Random,simulador.log,45337,11619,0.287666
8,1024,Random,simulador.log,25015,7776,0.343661
8,2048,Random,simulador.log,13123,4932,0.447783
8,4096,Random,simulador.log,7525,3161,0.800669
8,8192,Random,simulador.log,5200,2235,1.133773
8,16384,Random,simulador.log,4003,1160,2.311024
16,128,Random,simulador.log,208867,51224,0.458754
16,256,Random,simulador.log,123904,28430,0.336452
16,512,Random,simulador.log,74094,17120,0.283445
16,1024,Random,simulador.log,39726,10860,0.278572
16,2048,Random,simulador.log,20567,6919,0.314731
16,4096,Random,simulador.log,10333,4260,0.361877
16,8192,Random,simulador.log,5984,2735,0.804291
16,16384,Random,simulador.log,4321,1892,0.999461
32,128,Random,simulador.log,277843,77930,0.549720
32,256,Random,simulador.log,175217,45205,0.406651
32,512,Random,simulador.log,105978,25310,0.311767
32,1024,Random,simulador.log,63046,15160,0.264520
32,2048,Random,simulador.log,32899,9412,0.260288
32,4096,Random,simulador.log,15396,5494,0.323067
32,8192,Random,simulador.log,7726,3351,0.414415
32,16384,Random,simulador.log,4557,2091,0.701153
64,128,Random,simulador.log,433084,124164,0.765340
64,256,Random,simulador.log,251700,71862,0.520961
64,512,Random,simulador.log,152569,39292,0.370609
64,1024,Random,simulador.log,85125,20209,0.278855
64,2048,Random,simulador.log,47272,11321,0.242363
64,4096,Random,simulador.log,21650,6621,0.246720
64,8192,Random,simulador.log,9367,3608,0.301187
64,16384,Random,simulador.log,4587,2066,0.536835
