page_size,mem_size,alg,file,page_faults,dirty_pages,elapsed_time
4,4096,FIFO,compilador.log,6673,1773,1.365638
4,8192,FIFO,compilador.log,3432,733,1.623815
4,16384,FIFO,compilador.log,2852,0,1.753837
8,128,FIFO,compilador.log,132386,23565,0.159823
8,256,FIFO,compilador.log,92279,16308,0.178634
8,512,FIFO,compilador.log,65270,11670,0.221919
8,1024,FIFO,compilador.log,44465,8146,0.303259
8,2048,FIFO,compilador.log,26928,5418,0.463959
8,4096,FIFO,compilador.log,11951,2992,0.676773
8,8192,FIFO,compilador.log,4825,1391,1.282345
8,16384,FIFO,compilador.log,2494,418,1.498618
16,128,FIFO,compilador.log,189322,35969,0.152533
16,256,FIFO,compilador.log,123445,22667,0.159267
16,512,FIFO,compilador.log,83950,15552,0.177295
16,1024,FIFO,compilador.log,57600,10863,0.220195
16,2048,FIFO,compilador.log,38430,7481,0.303525
16,4096,FIFO,compilador.log,21527,4711,0.461324
16,8192,FIFO,compilador.log,8198,2283,0.675112
16,16384,FIFO,compilador.log,3201,944,1.134199
32,128,FIFO,compilador.log,263907,51199,0.151083
32,256,FIFO,compilador.log,170963,33391,0.153412
32,512,FIFO,compilador.log,109458,20625,0.158606
32,1024,FIFO,compilador.log,72140,13794,0.176703
32,2048,FIFO,compilador.log,47785,9188,0.219864
32,4096,FIFO,compilador.log,30752,6120,0.300744
32,8192,FIFO,compilador.log,14172,3370,0.448516
32,16384,FIFO,compilador.log,5223,1501,0.654811
64,128,FIFO,compilador.log,370856,71036,0.148922
64,256,FIFO,compilador.log,227915,48062,0.149909
64,512,FIFO,compilador.log,147332,30666,0.153994
64,1024,FIFO,compilador.log,93778,18860,0.163746
64,2048,FIFO,compilador.log,60369,12357,0.174907
64,4096,FIFO,compilador.log,38496,7918,0.218214
64,8192,FIFO,compilador.log,22804,5026,0.300295
64,16384,FIFO,compilador.log,9859,2516,0.461231
2,128,Random,compilador.log,94922,14497,0.365995
2,256,Random,compilador.log,67295,10444,0.407350
2,512,Random,compilador.log,44617,7356,0.535997
2,1024,Random,compilador.log,23601,4406,0.787482
2,2048,Random,compilador.log,11243,2471,1.445882
2,4096,Random,compilador.log,5355,1205,1.974622
2,8192,Random,compilador.log,3621,0,2.176382
2,16384,Random,compilador.log,3621,0,2.172571
4,128,Random,compilador.log,108574,17189,0.338700
4,256,Random,compilador.log,78473,12238,0.337291
4,512,Random,compilador.log,54091,8635,0.385083
4,1024,Random,compilador.log,34337,5960,0.521366
4,2048,Random,compilador.log,16925,3300,0.794959
4,4096,Random,compilador.log,7284,1695,1.422392
4,8192,Random,compilador.log,3651,669,1.614960
4,16384,Random,compilador.log,2852,0,1.759377
8,128,Random,compilador.log,144431,24117,0.370304
